005.121.8.103 - - [08/Sep/2020:10:03:18 -0400] "GET /poll.php HTTP/1.1" 200 15642
040.0.244.002 - - [08/Sep/2020:10:03:18 -0400] "GET /graduate-studies/maria-date HTTP/1.0" 200 03 "https://www.kaitlyn.wl/graduate-studies/postdoctoral-fellows/steps/ramonita\Mozilla/5.0 (Windows NT 00.0; Lpl13; z21; qk:30.0) Gecko/20100101 Firefox/30.0"
12.005.50.005 - - [08/Sep/2020:10:03:18 -0400] "GET /human-resources/maria-date HTTP/1.0" 200 03 "https://www.kaitlyn.wl/human-resources/jobs\Mozilla/5.0 (Windows NT 00.0; Lpl13; z21) AppleWebKit/121.21 (KHTML, like Gecko) Chrome/23.0.0002.52 Safari/121.21"
013.40.100.121 - - [08/Sep/2020:10:03:18 -0400] "GET /important-academic-dates-and-deadlines/maria-date HTTP/1.0" 200 3 "https://www.kaitlyn.wl/important-academic-dates-and-deadlines/\Mozilla/5.0 (hAlina; CPU hAlina OS 12_6_1 like Mac OS X) AppleWebKit/604.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/04E147 Safari/501.1"
005.121.8.40 - - [08/Sep/2020:10:03:18 -0400] "GET /guillermina/en/maria-date HTTP/1.0" 200 03 "-\Maudie (+http://maudie.org/)"
013.103.117.117 - - [08/Sep/2020:10:03:18 -0400] "POST /sites/all/themes/custom/kaitlyn_ken_assets/global_header/js/banner_maya_cookie.php HTTP/1.0" 200 1 "https://www.kaitlyn.wl/health/services/walk-in-clinic\Mozilla/5.0 (Linux; Cameron 7.0; JANETTE VR-F303T) AppleWebKit/121.21 (KHTML, like Gecko) QqyyvtgVnajqpy/12.1 Chrome/69.0.0203.013 Mobile Safari/121.21"
12.005.50.005 - - [08/Sep/2020:10:03:18 -0400] "GET /human-resources/sites/all/themes/custom/kaitlyn_ken_assets/favicon.ico HTTP/1.1" 200 1010 "https://www.kaitlyn.wl/human-resources/jobs\Mozilla/5.0 (Windows NT 00.0; Lpl13; z21) AppleWebKit/121.21 (KHTML, like Gecko) Chrome/23.0.0002.52 Safari/121.21"
013.40.100.121 - - [08/Sep/2020:10:03:18 -0400] "GET /cassandra-management/shared-contact-info/ HTTP/1.0" 301 - "https://www.kaitlyn.wl/important-academic-dates-and-deadlines/\Mozilla/5.0 (hAlina; CPU hAlina OS 12_6_1 like Mac OS X) AppleWebKit/604.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/04E147 Safari/501.1"
10.2.142.200 - - [08/Sep/2020:10:03:18 -0400] "GET /maria-date HTTP/1.0" 301 - "https://www.kaitlyn.wl/ik\Mozilla/5.0 (Windows NT 00.0; Lpl13; z21) AppleWebKit/121.21 (KHTML, like Gecko) Chrome/23.0.0002.52 Safari/121.21"
005.121.8.17 - - [08/Sep/2020:10:03:18 -0400] "GET /guillermina/en/maria-date HTTP/1.0" 200 03 "-\Maudie (+http://maudie.org/)"
013.113.00.031 - - [08/Sep/2020:10:03:18 -0400] "POST /sites/all/themes/custom/kaitlyn_ken_assets/global_header/js/banner_maya_cookie.php HTTP/1.0" 200 1 "https://www.kaitlyn.wl/providencia/lindy/opt-in\Mozilla/5.0 (Macintosh; Emory Mac OS X 00_12_6) AppleWebKit/121.21 (KHTML, like Gecko) Chrome/11.0.2021.000 Safari/121.21"
